,Date,118267,118269,118273,118278,118494,118510,118527,118533,118537,118539,118559,118588,118675,118762,118868,118979,119333,119436,119517,119556,119711,120465,120468,130861,134923
1019,2017-02-02,42.86,19.61,29.84,74.4,224.7308,68.9456,39.6541,836.9736,113.155,63.5943,18.0668,211.5461,81.469,87.8679,18.85,17.724,18.15,363.83,16.5572,32.7749,142.6296,20.67,20.77,10.818,10.9
1020,2017-02-03,42.99,19.63,29.95,74.94,224.2671,69.1986,39.502,843.8131,113.8872,63.8314,18.0152,213.6361,81.7831,88.1311,18.97,17.852,18.28,365.03,16.4723,33.0922,143.9885,20.69,20.78,10.8277,10.9755
1021,2017-02-06,43.43,19.78,30.31,75.63,226.1691,69.4921,39.9067,848.9792,113.9053,64.2193,18.1773,215.0134,82.4189,89.7159,19.12,18.03,18.41,368.47,16.5799,33.3258,145.3181,20.92,21.05,10.8962,10.9636
1022,2017-02-07,43.26,19.71,30.23,75.69,223.9241,69.3782,39.5273,846.3719,114.0068,64.0326,18.1547,214.2736,82.5079,89.8305,19.09,18.063,18.37,367.52,16.5375,33.5102,144.9008,20.94,21.02,10.9614,11.0097
1023,2017-02-08,43.58,19.71,30.28,75.5,225.676,69.5432,39.7502,850.0321,114.4155,64.4278,18.1371,213.908,82.4456,90.4461,19.04,18.091,18.35,369.02,16.5235,33.5563,144.7652,20.91,20.99,10.9458,11.0376
1024,2017-02-09,43.82,19.76,30.35,75.51,225.5972,69.7208,39.7398,850.4203,115.529,64.5369,18.1423,213.1299,82.6935,90.8324,18.95,18.034,18.31,368.67,16.4837,33.5562,144.8633,20.91,20.96,10.8333,11.027
1025,2017-02-10,43.75,19.76,30.37,75.48,225.5604,69.9879,39.7304,853.1236,116.6362,64.6341,18.0704,213.4466,83.0327,91.1212,19.0,17.983,18.33,369.43,16.5538,33.5312,144.8572,20.92,21.08,10.9017,11.046
1026,2017-02-13,43.68,19.82,30.38,75.18,225.4569,70.1137,39.7707,852.5264,117.3659,64.6432,18.1505,212.7177,82.7706,90.5924,18.95,17.768,18.32,369.48,16.6354,33.3784,143.9618,20.89,21.03,10.932,11.0973
1027,2017-02-14,43.18,19.69,30.31,75.05,224.5856,69.8798,39.6126,846.0195,117.3853,64.4612,18.1118,212.979,82.6082,90.0834,18.98,17.653,18.31,366.82,16.6718,33.2218,143.749,20.81,20.98,10.835,11.1302
1028,2017-02-15,42.59,19.46,30.05,74.24,221.767,69.2241,39.29,833.7606,117.1711,63.7914,18.0651,210.9837,81.9221,88.2107,18.83,17.306,18.12,361.22,16.7022,32.6642,142.3413,20.65,20.87,10.8309,11.1682
