Strategy,Sharpe Ratio,Sortino Ratio,Max Drawdown,Annual Return,Annual Volatility
Equal_wtd_year_2020.csv,0.6702027598913056,0.6866160386128672,-0.35122336898393447,0.18681532200519135,0.2489027679209284
Equal_wtd_year_2021.csv,2.00951249547667,2.673408627252664,-0.0839565901478633,0.2953263103039352,0.1370114945409314
Equal_wtd_year_2022.csv,-0.18005789680780826,-0.2248876981434745,-0.17784706130343195,-0.01037283460905658,0.16868371311410016
Equal_wtd_year_2023.csv,3.274180764818255,4.268925047222944,-0.06173904510768225,0.3042355751337009,0.08681120425233407
GOPALS_Strategy1_n_3_year_2020_pct_0.9.csv,0.8944743216238492,1.0858217697891654,-0.2768677380823836,0.20404528499125307,0.20575804194930164
GOPALS_Strategy1_n_3_year_2020_pct_0.95.csv,1.0005401053252976,1.0835056525579068,-0.2823527416358615,0.22604016449053055,0.20592894117277025
GOPALS_Strategy1_n_3_year_2021_pct_0.9.csv,1.7451413240613634,2.8263880528395853,-0.061410047904931875,0.21556375934236027,0.11206184659431272
GOPALS_Strategy1_n_3_year_2021_pct_0.95.csv,1.6008856734454455,2.605309069694151,-0.06227994951691258,0.19112322676344906,0.10689284662980061
GOPALS_Strategy1_n_3_year_2022_pct_0.9.csv,-0.834704576851988,-1.16606062691561,-0.20991265757759284,-0.12171145903789504,0.16977438840978548
GOPALS_Strategy1_n_3_year_2022_pct_0.95.csv,-0.2866178422696068,-0.4213416782679957,-0.15403230808521665,-0.02236432299406299,0.14780769633389756
GOPALS_Strategy1_n_3_year_2023_pct_0.9.csv,2.4361994827672597,4.215894487398129,-0.07472789897821494,0.25566959226282937,0.09673657429527657
GOPALS_Strategy1_n_3_year_2023_pct_0.95.csv,2.254154372104751,3.6166248221973674,-0.07715694551873012,0.21876818212311888,0.08817860239870125
GOPALS_Strategy1_n_5_year_2020_pct_0.95.csv,0.9774057377993663,1.0510549966237803,-0.28531959037546883,0.21877739123939155,0.203372441507188
GOPALS_Strategy1_n_5_year_2021_pct_0.95.csv,2.152874433464153,3.3515580121495674,-0.057408037742550655,0.25140008459619256,0.10748424571323033
GOPALS_Strategy1_n_5_year_2022_pct_0.95.csv,-0.6725415741688039,-1.0696559001602168,-0.17831580716752676,-0.0785929292789238,0.1465975235817579
GOPALS_Strategy1_n_5_year_2023_pct_0.95.csv,2.680102265246912,4.181893083710403,-0.07283170904041016,0.2470153813436604,0.08470399965232146
GOPALS_Strategy2.1_n_3_year_2020_pct_0.95.csv,1.0176691752446108,1.1108960325012867,-0.2994079857476946,0.22353517617272,0.20000131783867536
GOPALS_Strategy2.1_n_3_year_2021_pct_0.95.csv,2.04726067869148,3.4953466276298006,-0.0585777218775372,0.2390362060734048,0.10698989549948434
GOPALS_Strategy2.1_n_3_year_2022_pct_0.95.csv,-0.6493422992867061,-0.9638337158332395,-0.16587494988862753,-0.08494620408834186,0.16161923257367322
GOPALS_Strategy2.1_n_3_year_2023_pct_0.95.csv,3.9169089422566588,5.132936044516874,-0.06839043696743186,0.4459887744437052,0.10875636393994884
GOPALS_Strategy2.2_n_3_year_2020_pct_0.95.csv,1.0176691752446108,1.1108960325012867,-0.2994079857476946,0.22353517617272,0.20000131783867536
GOPALS_Strategy2.2_n_3_year_2021_pct_0.95.csv,2.3018672211771967,4.157031279650102,-0.05392876192912416,0.2519803179724489,0.10077919170933412
GOPALS_Strategy2.2_n_3_year_2022_pct_0.95.csv,-0.6493422992867061,-0.9638337158332395,-0.16587494988862753,-0.08494620408834186,0.16161923257367322
GOPALS_Strategy2.2_n_3_year_2023_pct_0.95.csv,3.607319263655806,5.499064026072756,-0.06937156598435959,0.3849394113632121,0.10116637444321117
GOPALS_Strategy2.3_n_3_year_2020_pct_0.95.csv,1.069925159059493,1.1512406635192065,-0.30593166132729416,0.28212783864351043,0.24499642467883573
GOPALS_Strategy2.3_n_3_year_2021_pct_0.95.csv,2.219454724696834,3.133416742993146,-0.07407626257917647,0.3208001956343376,0.13552887215368872
GOPALS_Strategy2.3_n_3_year_2022_pct_0.95.csv,-0.9268337284561559,-1.3528018302032543,-0.23366996931996167,-0.15731490907750767,0.19131253388120045
GOPALS_Strategy2.3_n_3_year_2023_pct_0.95.csv,3.967521472258148,5.97386098522081,-0.058765995907452476,0.4153599626655411,0.09964910471940525
GOPALS_Strategy2_n_3_year_2020_pct_0.9.csv,0.8944743216238492,1.0858217697891654,-0.2768677380823836,0.20404528499125307,0.20575804194930164
GOPALS_Strategy2_n_3_year_2020_pct_0.95.csv,1.0005401053252976,1.0835056525579068,-0.2823527416358615,0.22604016449053055,0.20592894117277025
GOPALS_Strategy2_n_3_year_2021_pct_0.9.csv,2.368444985141248,3.7796016740965865,-0.056958755490980666,0.25927082448548266,0.10102443839167884
GOPALS_Strategy2_n_3_year_2021_pct_0.95.csv,2.04726067869148,3.4953466276298006,-0.0585777218775372,0.2390362060734048,0.10698989549948434
GOPALS_Strategy2_n_3_year_2022_pct_0.9.csv,-0.8189275048526411,-1.3835637845159683,-0.18159044738674024,-0.13217653321346334,0.18582418139789575
GOPALS_Strategy2_n_3_year_2022_pct_0.95.csv,-0.8940213866073898,-1.5316355498496972,-0.19666357135686618,-0.1332256104325058,0.17138920022256127
GOPALS_Strategy2_n_3_year_2023_pct_0.9.csv,3.991705149248587,5.94864116875583,-0.058910718728786365,0.3978709882178453,0.09466405310246351
GOPALS_Strategy2_n_3_year_2023_pct_0.95.csv,3.934094688749093,6.027415100718897,-0.05998186704483466,0.41063461686225966,0.09929466567731954
